"BusinessEntityID","NationalIDNumber","LoginID","OrganizationNode","OrganizationLevel","JobTitle","BirthDate","MaritalStatus","Gender","HireDate","SalariedFlag","VacationHours","SickLeaveHours","CurrentFlag","rowguid","ModifiedDate"
28,"14417807","adventure-works\guy1","b'z\xd6\xb0'",4,"Production Technician - WC60","1988-03-13","M","M","2006-06-30",False,21,30,True,"AAE1D04A-C237-4974-B4D5-935247737718","2014-06-30 00:00:00.000"
17,"253022876","adventure-works\kevin0","b'j\xc0'",2,"Marketing Assistant","1987-05-03","S","M","2007-01-26",False,42,41,True,"1B480240-95C0-410F-A717-EB29943C8886","2014-06-30 00:00:00.000"
3,"509647174","adventure-works\roberto0","b'Z\xc0'",2,"Engineering Manager","1974-11-12","M","M","2007-11-11",True,2,21,True,"9BBBFB2C-EFBB-4217-9AB7-F97689328841","2014-06-30 00:00:00.000"
4,"112457891","adventure-works\rob0","b'Z\xd6'",3,"Senior Tool Designer","1974-12-23","S","M","2007-12-05",False,48,80,True,"59747955-87B8-443F-8ED4-F8AD3AFDF3A9","2014-06-30 00:00:00.000"
12,"480168528","adventure-works\thierry0","b'Z\xe3X'",4,"Tool Designer","1959-07-29","M","M","2007-12-11",False,9,24,True,"1D955171-E773-4FAD-8382-40FD898D5D4D","2014-06-30 00:00:00.000"
16,"24756624","adventure-works\david0","b'h'",1,"Marketing Manager","1975-03-19","S","M","2007-12-20",True,40,40,True,"E87029AA-2CBA-4C03-B948-D83AF0313E28","2014-06-30 00:00:00.000"
40,"309738752","adventure-works\jolynn0","b'z\xda'",3,"Production Supervisor - WC60","1956-01-16","S","F","2007-12-26",False,82,61,True,"2CC71B96-F421-485E-9832-8723337749BB","2014-06-30 00:00:00.000"
5,"695256908","adventure-works\gail0","b'Z\xda'",3,"Design Engineer","1952-09-27","M","F","2008-01-06",True,5,22,True,"EC84AE09-F9B8-4A15-B4A9-6CCBAB919B08","2014-06-30 00:00:00.000"
48,"690627818","adventure-works\ruth0","b'z\xde\xb0'",4,"Production Technician - WC10","1956-06-04","M","F","2008-01-06",False,83,61,True,"3E3B6905-209E-442E-B8A8-9A0980241C6A","2014-06-30 00:00:00.000"
49,"912265825","adventure-works\barry0","b'z\xde\xd0'",4,"Production Technician - WC10","1956-03-26","S","M","2008-01-07",False,88,64,True,"756A60AE-378F-43D8-9F93-1E821D1EAF52","2014-06-30 00:00:00.000"
6,"998320692","adventure-works\jossef0","b'Z\xde'",3,"Design Engineer","1959-03-11","M","M","2008-01-24",True,6,23,True,"E39056F1-9CD5-478D-8945-14ACA7FBDCDD","2014-06-30 00:00:00.000"
2,"245797967","adventure-works\terri0","b'X'",1,"Vice President of Engineering","1971-08-01","S","F","2008-01-31",True,1,20,True,"45E8F437-670D-4409-93CB-F9424A40D6EE","2014-06-30 00:00:00.000"
50,"844973625","adventure-works\sidney0","b'z\xde\xf0'",4,"Production Technician - WC10","1956-08-30","M","M","2008-02-02",False,84,62,True,"40D603D9-7F99-48B7-A580-B17CF429BED2","2014-06-30 00:00:00.000"
55,"233069302","adventure-works\taylor0","b'z\xe1'",3,"Production Supervisor - WC50","1956-04-01","M","M","2008-02-08",False,79,59,True,"28F7EF89-2793-4989-B67D-25046543C1E3","2014-06-30 00:00:00.000"
51,"132674823","adventure-works\jeffrey0","b'z\xdf\x08'",4,"Production Technician - WC10","1956-07-11","S","M","2008-02-20",False,85,62,True,"6E086F41-B81D-4BDC-9F13-0EEC488DC43E","2014-06-30 00:00:00.000"
27,"446466105","adventure-works\jo0","b'z\xd6'",3,"Production Supervisor - WC60","1956-10-08","S","F","2008-02-27",False,80,60,True,"83FFAAC6-B895-481F-B897-14F965D4DA47","2014-06-30 00:00:00.000"
52,"565090917","adventure-works\doris0","b'z\xdf\x18'",4,"Production Technician - WC10","1956-04-04","M","F","2008-03-10",False,86,63,True,"692B8826-03B4-4C3B-82FC-1FC6F1409689","2014-06-30 00:00:00.000"
62,"494170342","adventure-works\john0","b'z\xe3'",3,"Production Supervisor - WC60","1956-08-07","M","M","2008-03-17",False,81,60,True,"D4ED1F78-7C28-479B-BFEF-A73228BA2AAA","2014-06-30 00:00:00.000"
53,"9659517","adventure-works\diane0","b'z\xdf('",4,"Production Technician - WC10","1956-03-29","M","F","2008-03-28",False,87,63,True,"C334B2D2-0C56-4906-9095-F1D07A98CBEC","2014-06-30 00:00:00.000"
26,"277173473","adventure-works\peter0","b'z\xc0'",2,"Production Control Manager","1982-11-03","M","M","2008-12-01",True,43,41,True,"69D5D162-E817-45E7-9DEC-5D9B8310E7B1","2014-12-26 09:17:08.637"
72,"443968955","adventure-works\steven0","b'z\xe5X'",4,"Production Technician - WC30","1977-05-14","M","M","2008-12-01",False,41,40,True,"0A8937C9-68AA-4D48-BA4E-B40493D764AA","2014-06-30 00:00:00.000"
167,"498138869","adventure-works\david1","b'z\xf0U`'",4,"Production Technician - WC30","1979-11-02","S","M","2008-12-02",False,25,32,True,"ED7EE92E-A9D0-4E3A-8DEE-4B143E459F7E","2014-06-30 00:00:00.000"
206,"835460180","adventure-works\stuart0","b'z\xf0u`'",4,"Production Technician - WC45","1962-09-13","S","M","2008-12-02",False,84,62,True,"4F361B4F-7920-4037-9A0A-46D616F9B9C7","2014-06-30 00:00:00.000"
207,"687685941","adventure-works\greg0","b'z\xf0u\xa0'",4,"Production Technician - WC45","1970-10-18","S","M","2008-12-02",False,85,62,True,"A36B5D6B-72A5-47F8-9F6B-5D922130E760","2014-06-30 00:00:00.000"
102,"360868122","adventure-works\zheng0","b'z\xea\x80'",3,"Production Supervisor - WC10","1983-10-26","S","M","2008-12-03",False,66,53,True,"C75F2740-ACE3-4EBF-91C5-7AB352E1095F","2014-06-30 00:00:00.000"
265,"749389530","adventure-works\ashvini0","b'\x8dk'",3,"Network Administrator","1977-03-27","S","M","2008-12-04",False,70,55,True,"2E680C1C-7C02-4343-9626-6F97273414C0","2014-06-30 00:00:00.000"
128,"384162788","adventure-works\paul0","b'z\xed\xac'",4,"Production Technician - WC40","1980-11-13","S","M","2008-12-04",False,68,54,True,"0217049E-1566-42B6-8027-41B751E2B00B","2014-06-30 00:00:00.000"
135,"964089218","adventure-works\ivo0","b'z\xee\xac'",4,"Production Technician - WC20","1982-01-03","M","M","2008-12-04",False,9,24,True,"D83A26F3-7EA7-477B-A5BB-7EAADFC13A09","2014-06-30 00:00:00.000"
58,"571658797","adventure-works\kendall0","b'z\xe1x'",4,"Production Technician - WC50","1986-05-30","M","M","2008-12-05",False,11,25,True,"65207627-5521-4A8E-AD3C-B2F1B5226B85","2014-06-30 00:00:00.000"
235,"535145551","adventure-works\paula0","b'\x85`'",2,"Human Resources Manager","1976-02-11","M","F","2008-12-06",True,54,47,True,"65028F15-4149-4DE5-B203-9D7EC86BAF87","2014-06-30 00:00:00.000"
193,"761597760","adventure-works\alejandro0","b'z\xf0m`'",4,"Production Technician - WC40","1988-12-05","S","M","2008-12-06",False,52,46,True,"8C7321D2-2C64-4902-9D64-8F5C1EB7F747","2014-06-30 00:00:00.000"
146,"160739235","adventure-works\jianshuo0","b'z\xef\xac'",4,"Production Technician - WC30","1989-06-25","S","M","2008-12-07",False,36,38,True,"6FFF136A-9664-4EB9-9243-FAC76E21B9DD","2014-06-30 00:00:00.000"
122,"586486572","adventure-works\susan0","b'z\xec\xac'",4,"Stocker","1978-02-17","S","F","2008-12-07",False,97,68,True,"923ECFD6-E202-429A-9141-6CB183531439","2014-06-30 00:00:00.000"
123,"337752649","adventure-works\vamsi0","b'z\xec\xb4'",4,"Shipping and Receiving Clerk","1977-03-18","M","M","2008-12-07",False,95,67,True,"A8838AB2-99DE-415C-8675-D82EBF1C4752","2014-06-30 00:00:00.000"
168,"271438431","adventure-works\garrett0","b'z\xf0U\xa0'",4,"Production Technician - WC30","1984-08-25","S","M","2008-12-07",False,34,37,True,"A6F5F72F-AA03-41B7-8B6E-B123BD360753","2014-06-30 00:00:00.000"
109,"113695504","adventure-works\alice0","b'z\xeb\xac'",4,"Production Technician - WC50","1978-01-26","M","F","2008-12-07",False,95,67,True,"7E632B21-0D11-4BBA-8A68-8CAE14C20AE6","2014-06-30 00:00:00.000"
108,"630184120","adventure-works\jinghao0","b'z\xeb\x80'",3,"Production Supervisor - WC50","1989-02-05","S","M","2008-12-08",False,77,58,True,"2BCA07D3-F2AC-4406-904F-E09156F3EB3E","2014-06-30 00:00:00.000"
44,"276751903","adventure-works\simon0","b'z\xdb\x08'",4,"Production Technician - WC60","1990-05-17","S","M","2008-12-08",False,38,39,True,"F734D38A-56B5-471E-8DED-A682E958A9B3","2014-06-30 00:00:00.000"
181,"545337468","adventure-works\michael0","b'z\xf0]`'",4,"Production Technician - WC20","1984-11-17","S","M","2008-12-09",False,20,30,True,"4FD6FE82-535A-4DD1-BEB1-154A8B5E42F0","2014-06-30 00:00:00.000"
187,"713403643","adventure-works\yvonne0","b'z\xf0e`'",4,"Production Technician - WC45","1989-04-15","M","F","2008-12-09",False,79,59,True,"83C6DABF-FD7D-4F5B-BB22-EB7EEBB9A772","2014-06-30 00:00:00.000"
212,"885055826","adventure-works\peng0","b'{V'",3,"Quality Assurance Supervisor","1976-03-18","M","M","2008-12-09",True,81,60,True,"E249D613-36C9-4544-9B6F-6CE50E5E0DA5","2014-06-30 00:00:00.000"
263,"441044382","adventure-works\jean0","b'\x8c'",1,"Information Services Manager","1975-12-13","S","F","2008-12-11",True,65,52,True,"794A0B1F-C46A-401C-984D-008996FC7092","2014-06-30 00:00:00.000"
222,"685233686","adventure-works\ascott0","b'{\xc0'",2,"Master Scheduler","1968-09-17","S","M","2008-12-12",False,44,42,True,"13909262-4136-492F-BCA3-0B0E3773B03E","2014-12-26 09:17:08.637"
194,"295971920","adventure-works\fred0","b'z\xf0m\xa0'",4,"Production Technician - WC40","1989-06-25","S","M","2008-12-12",False,47,43,True,"45358AE8-0B0E-4C11-90BB-DAC3EC0D5C82","2014-06-30 00:00:00.000"
94,"718299860","adventure-works\russell0","b'z\xe9\xac'",4,"Production Technician - WC50","1972-11-25","M","M","2008-12-12",False,6,23,True,"6B10192F-D570-47C4-82C9-3D979B1EFDC1","2014-06-30 00:00:00.000"
22,"95958330","adventure-works\sariya0","b'l\xa0'",2,"Marketing Specialist","1987-05-21","S","M","2008-12-12",False,45,42,True,"AF21F1B7-0691-48AD-B325-B8F2D7B2268A","2014-06-30 00:00:00.000"
240,"332040978","adventure-works\willis0","b'\x85q\x80'",3,"Recruiter","1978-07-18","S","M","2008-12-13",False,49,44,True,"A1D86ECC-EA17-4B1B-8369-F1D07AB0A469","2014-06-30 00:00:00.000"
228,"553069203","adventure-works\christian0","b'|+'",3,"Maintenance Supervisor","1976-01-18","M","M","2008-12-14",True,92,66,True,"4611C7C5-90A0-407F-B054-93BD51533609","2014-06-30 00:00:00.000"
169,"351069889","adventure-works\susan1","b'z\xf0U\xe0'",4,"Production Technician - WC30","1983-04-02","S","F","2008-12-14",False,31,35,True,"F73D75D5-B47B-46EE-AD11-7BF13DD6C55D","2014-06-30 00:00:00.000"
110,"857651804","adventure-works\jun0","b'z\xeb\xb4'",4,"Production Technician - WC50","1979-07-06","S","M","2008-12-14",False,90,65,True,"9C5F84D1-FB96-4D82-92A1-F932903DEAAD","2014-06-30 00:00:00.000"
78,"370989364","adventure-works\reuben0","b'z\xe7'",3,"Production Supervisor - WC40","1987-08-27","M","M","2008-12-15",False,72,56,True,"71EEE2A6-B9B3-4BF4-8949-01239DF7C901","2014-06-30 00:00:00.000"
70,"36151748","adventure-works\david2","b'z\xe3\xa2'",4,"Production Technician - WC60","1984-12-29","M","M","2008-12-15",False,33,36,True,"FC617BB8-D2A3-4374-873C-8EF38D80127D","2014-06-30 00:00:00.000"
161,"275962311","adventure-works\kirk0","b'z\xf0M`'",4,"Production Technician - WC45","1985-02-06","S","M","2008-12-15",False,74,57,True,"08D25BAA-167B-499C-8B51-31DCC856A8CF","2014-06-30 00:00:00.000"
153,"568596888","adventure-works\hanying0","b'z\xf0E`'",4,"Production Technician - WC20","1974-10-16","S","M","2008-12-16",False,15,27,True,"618B71BC-6E8C-492D-8862-B9EFB7A4E06A","2014-06-30 00:00:00.000"
218,"540688287","adventure-works\tengiz0","b'{Z\xb0'",4,"Control Specialist","1990-04-28","S","M","2008-12-16",False,76,58,True,"C609B3B2-7969-410C-934C-62C34B63C4EE","2014-06-30 00:00:00.000"
195,"918737118","adventure-works\kevin1","b'z\xf0m\xe0'",4,"Production Technician - WC40","1985-12-25","S","M","2008-12-17",False,58,49,True,"DC7E95FF-275E-41C2-8ED3-686864F0540A","2014-06-30 00:00:00.000"
111,"415823523","adventure-works\suroor0","b'z\xeb\xbc'",4,"Production Technician - WC50","1978-02-25","S","M","2008-12-17",False,93,66,True,"14010B0E-C101-4E41-B788-21923399E512","2014-06-30 00:00:00.000"
33,"801758002","adventure-works\annik0","b'z\xd7('",4,"Production Technician - WC60","1976-12-26","M","M","2008-12-17",False,17,28,True,"51FDE6AC-BD50-467C-90E5-10CA7310455C","2014-06-30 00:00:00.000"
242,"363923697","adventure-works\deborah0","b'\x85\xab'",3,"Accounts Receivable Specialist","1976-03-06","M","F","2008-12-18",False,60,50,True,"09F75454-028C-46CA-BC08-0147BD0220D7","2014-06-30 00:00:00.000"
95,"674171828","adventure-works\jim0","b'z\xe9\xb4'",4,"Production Technician - WC50","1986-09-08","M","M","2008-12-19",False,1,20,True,"6175876E-8FCC-4917-BE06-FC358515E6DF","2014-06-30 00:00:00.000"
73,"138280935","adventure-works\carole0","b'z\xe5h'",4,"Production Technician - WC30","1983-10-19","M","F","2008-12-19",False,42,41,True,"C76A41F1-A390-4AE4-A82A-2A87764C6391","2014-06-30 00:00:00.000"
170,"476115505","adventure-works\george0","b'z\xf0V\x10'",4,"Production Technician - WC30","1977-04-16","M","M","2008-12-21",False,26,33,True,"01B119A2-2AF3-4775-818E-B421FECB07A7","2014-06-30 00:00:00.000"
129,"502058701","adventure-works\gary0","b'z\xed\xb4'",4,"Production Technician - WC40","1988-05-16","S","M","2008-12-22",False,69,54,True,"A03D6052-1F85-4EBE-AAC9-B67CFDCD91A6","2014-06-30 00:00:00.000"
87,"7201901","adventure-works\cristian0","b'z\xe8\x80'",3,"Production Supervisor - WC10","1984-04-11","M","M","2008-12-22",False,67,53,True,"5BE16416-8570-417D-9E54-047DB468B5E9","2014-06-30 00:00:00.000"
154,"97728960","adventure-works\raymond0","b'z\xf0E\xa0'",4,"Production Technician - WC20","1967-03-02","M","M","2008-12-23",False,10,25,True,"9F01E1FB-B893-40CC-9F5C-AAF89F9B7AF5","2014-06-30 00:00:00.000"
272,"525932996","adventure-works\janaina0","b'\x8ep'",2,"Application Specialist","1985-01-30","M","F","2008-12-23",True,71,55,True,"241535C7-7A31-4A6A-9E0D-A83C30C2EDDA","2014-06-30 00:00:00.000"
196,"370487086","adventure-works\shammi0","b'z\xf0n\x10'",4,"Production Technician - WC40","1980-10-04","M","M","2008-12-24",False,53,46,True,"9BEF0C94-7969-4905-9A42-CE469C754800","2014-06-30 00:00:00.000"
59,"843479922","adventure-works\bob0","b'z\xe1\x84'",4,"Production Technician - WC50","1979-08-16","S","M","2008-12-24",False,12,26,True,"68616AEA-81E5-4940-A7E4-6FBA882BCCF6","2014-06-30 00:00:00.000"
