"BusinessEntityID","PersonType","NameStyle","Title","FirstName","MiddleName","LastName","Suffix","EmailPromotion","AdditionalContactInfo","Demographics","rowguid","ModifiedDate"
2,"EM",False,"","Terri","Lee","Duffy","",1,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","D8763459-8AA8-47CC-AFF7-C9079AF79033","2008-01-24"
3,"EM",False,"","Roberto","","Tamburello","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","E1A2555E-0828-434B-A33B-6F38136A37DE","2007-11-04"
4,"EM",False,"","Rob","","Walters","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","F2D7CE06-38B3-4357-805B-F4B6B71C01FF","2007-11-28"
5,"EM",False,"Ms.","Gail","A","Erickson","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","F3A3F6B4-AE3B-430C-A754-9F2231BA6FEF","2007-12-30"
6,"EM",False,"Mr.","Jossef","H","Goldberg","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","0DEA28FD-EFFE-482A-AFD3-B7E8F199D56F","2013-12-16"
12,"EM",False,"","Thierry","B","D'Hers","",2,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","FA263C7F-600D-4E89-8DCD-0978F3530F5F","2007-12-04"
16,"EM",False,"","David","M","Bradley","",1,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","2CC8BA72-5DBB-497F-B941-775517993638","2007-12-13"
17,"EM",False,"","Kevin","F","Brown","",2,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","9EE4713E-B3D8-4409-BC5E-DEC62497F43A","2007-01-19"
22,"EM",False,"","Sariya","E","Harnpadoungsataya","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","276E0EB5-0CE7-443F-987F-B7EF293C0930","2008-12-05"
26,"EM",False,"","Peter","J","Krebs","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","6F32F507-290E-4A96-A045-F445EAE4337F","2008-11-24"
27,"EM",False,"","Jo","A","Brown","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","EDD8ADD6-F7FD-4086-BFDC-B4FD3E6AD8D7","2008-02-20"
28,"EM",False,"","Guy","R","Gilbert","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","D366A33A-8EDE-42BD-BF79-3E7FB9713FE1","2006-06-23"
33,"EM",False,"","Annik","O","Stahl","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","BFA2BDC8-208A-447B-8A4E-72A215E9E134","2008-12-10"
40,"EM",False,"","JoLynn","M","Dobney","",1,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","E8E5C9DA-F808-4439-BF5C-B28236BB8467","2007-12-19"
44,"EM",False,"","Simon","D","Rapier","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","FF8EDBFC-A9A3-4C5D-8AFF-DF4D6F18DAFF","2008-12-01"
48,"EM",False,"","Ruth","Ann","Ellerbrock","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","9BE35B50-2024-4785-9393-7C7AB8D9634D","2007-12-30"
49,"EM",False,"","Barry","K","Johnson","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","CB28BE2E-DE93-4409-BACE-DF6042D04815","2013-11-29"
50,"EM",False,"","Sidney","M","Higa","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","A20BB9F5-3BBB-4AB6-9BFA-6AED32C30204","2008-01-26"
51,"EM",False,"","Jeffrey","L","Ford","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","293DF609-2FA3-4C00-A891-ACE08661FE70","2008-02-13"
52,"EM",False,"","Doris","M","Hartwig","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","075AB67F-BFBD-4433-B33E-C65B2C045B6B","2014-01-31"
53,"EM",False,"","Diane","R","Glimp","",2,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","9EA27F41-36BB-4456-A506-2B87C416FB0C","2008-03-21"
55,"EM",False,"","Taylor","R","Maxwell","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","9F81714B-0C9C-43C3-8DF5-180CB0A42D40","2013-12-31"
58,"EM",False,"","Kendall","C","Keil","",2,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","CA8D648A-166B-4D61-9AE0-A0B1FFECFB1B","2008-11-28"
62,"EM",False,"","John","T","Campbell","",1,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","F5A4CC1B-AEFA-46CA-8888-2CA1C6D4034B","2014-02-07"
70,"EM",False,"","David","J","Ortiz","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","60245B9F-EABD-48CF-9FA9-C5DD48BCB3DF","2008-12-08"
72,"EM",False,"","Steven","T","Selikoff","",2,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","7455FEFF-9238-4C29-819F-A4DF6508C0F8","2008-11-24"
73,"EM",False,"","Carole","M","Poland","",2,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","4EE4FAF4-9C85-4022-B07F-956F1C5595D5","2008-12-12"
78,"EM",False,"","Reuben","H","D'sa","",2,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","AEBEAA5B-D861-4703-A959-6D0F6F4CDF74","2008-12-08"
87,"EM",False,"","Cristian","K","Petculescu","",1,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","45FE0378-ED23-4D24-A5F5-11B10B402980","2008-12-15"
94,"EM",False,"","Russell","","Hunter","",1,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","288EF549-203C-439C-A6B2-32FD822327FF","2008-12-05"
95,"EM",False,"","Jim","H","Scardelis","",2,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","A45F89BB-9748-41F8-9FAA-A5D76DF4B029","2008-12-12"
